Date,RIDATA.Death,RIDATA.DeathConfirmed
2020-9-10,1067,0
2020-9-11,1071,0
2020-9-12,1072,0
2020-9-13,1075,0
2020-9-14,1075,0
2020-9-15,1078,0
2020-9-16,1081,0
2020-9-17,1085,0
2020-9-18,1088,0
2020-9-19,1091,0
2020-9-20,1094,0
2020-9-21,1097,0
2020-9-22,1099,0
2020-9-23,1102,0
2020-9-24,1106,0
2020-9-25,1107,0
2020-9-26,1110,0
2020-9-27,1110,0
2020-9-28,1110,0
2020-9-29,1113,0
2020-9-30,1114,0
2020-10-1,1117,0
2020-10-2,1118,0
2020-10-3,1119,0
2020-10-4,1120,0
2020-10-5,1121,0
2020-10-6,1125,0
2020-10-7,1126,0
2020-10-8,1127,0
2020-10-9,1130,0
2020-10-10,1132,0
2020-10-11,1134,0
2020-10-12,1137,0
2020-10-13,1139,0
2020-10-14,1147,0
2020-10-15,1149,0
2020-10-16,1152,0
2020-10-17,1158,0
2020-10-18,1158,0
2020-10-19,1159,0
2020-10-20,1164,0
2020-10-21,1169,0
2020-10-22,1173,0
2020-10-23,1177,0
2020-10-24,1183,0
2020-10-25,1183,0
2020-10-26,1184,0
2020-10-27,1188,0
2020-10-28,1192,0
2020-10-29,1195,0
2020-10-30,1201,0
2020-10-31,1204,0
2020-11-1,1207,0
2020-11-2,1210,0
2020-11-3,1212,0
2020-11-4,1214,0
2020-11-5,1222,0
2020-11-6,1224,0
2020-11-7,1231,0
2020-11-8,1232,0
2020-11-9,1233,0
2020-11-10,1237,0
2020-11-11,1243,0
2020-11-12,1250,0
2020-11-13,1254,0
2020-11-14,1257,0
2020-11-15,1265,0
2020-11-16,1270,0
2020-11-17,1278,0
2020-11-18,1284,0
2020-11-19,1288,0
2020-11-20,1294,0
2020-11-21,1300,0
2020-11-22,1303,0
2020-11-23,1309,0
2020-11-24,1325,0
2020-11-25,1335,0
2020-11-26,1342,0
2020-11-27,1346,0
2020-11-28,1363,0
2020-11-29,1365,0
2020-11-30,1373,0
2020-12-1,1380,0
2020-12-2,1391,0
2020-12-3,1400,0
2020-12-4,1413,0
2020-12-5,1429,0
2020-12-6,1437,0
2020-12-7,1448,0
2020-12-8,1470,0
2020-12-9,1484,0
2020-12-10,1498,0
2020-12-11,1509,0
2020-12-12,1526,0
2020-12-13,1538,0
2020-12-14,1555,0
2020-12-15,1570,0
2020-12-16,1590,0
2020-12-17,1602,0
2020-12-18,1625,0
2020-12-19,1644,0
2020-12-20,1659,0
2020-12-21,1670,0
2020-12-22,1678,0
2020-12-23,1704,0
2020-12-24,1715,0
2020-12-25,1722,0
2020-12-26,1732,0
2020-12-27,1739,0
2020-12-28,1742,0
2020-12-29,1760,0
2020-12-30,1777,0
2020-12-31,1809,0
2021-1-1,1823,0
2021-1-2,1833,0
2021-1-3,1843,0
2021-1-4,1855,0
2021-1-5,1870,0
2021-1-6,1890,0
2021-1-7,1910,0
2021-1-8,1916,0
2021-1-9,1930,0
2021-1-10,1940,0
2021-1-11,1947,0
2021-1-12,1970,0
2021-1-13,1987,0
2021-1-14,1996,0
2021-1-15,2005,0
2021-1-16,2019,0
2021-1-17,2028,0
2021-1-18,2033,0
2021-1-19,2045,0
2021-1-20,2058,0
2021-1-21,2076,0
2021-1-22,2083,0
2021-1-23,2097,0
2021-1-24,2101,0
2021-1-25,2110,0
2021-1-26,2126,0
2021-1-27,2135,0
2021-1-28,2144,0
2021-1-29,2154,0
2021-1-30,2164,0
2021-1-31,2168,0
2021-2-1,2173,0
2021-2-2,2186,0
2021-2-3,2198,0
2021-2-4,2209,0
2021-2-5,2212,0
2021-2-6,2223,0
2021-2-7,2228,0
2021-2-8,2236,0
2021-2-9,2248,0
2021-2-10,2259,0
2021-2-11,2274,0
2021-2-12,2290,0
