Date,OHDATA.Death,OHDATA.DeathConfirmed
2021-1-10,9627,8666
2021-1-11,9702,8730
2021-1-12,9802,8805
2021-1-13,9881,8874
2021-1-14,9990,8974
2021-1-15,10057,9030
2021-1-16,10135,9080
2021-1-17,10200,9132
2021-1-18,10281,9205
2021-1-19,10336,9252
2021-1-20,10409,9313
2021-1-21,10518,9402
2021-1-22,10599,9464
2021-1-23,10680,9532
2021-1-24,10711,9555
2021-1-25,10768,9602
2021-1-26,10856,9678
2021-1-27,10931,9737
2021-1-28,11006,9803
2021-1-29,11070,9861
2021-1-30,11121,9907
2021-1-31,11175,9955
2021-2-1,11230,10000
2021-2-2,11336,10084
2021-2-3,11430,10167
2021-2-4,11509,10225
2021-2-5,11571,10270
2021-2-6,11652,10344
2021-2-7,11659,10351
2021-2-8,11695,10384
2021-2-9,11793,10468
2021-2-10,11856,10522
2021-2-11,12577,11104
2021-2-12,15136,13005
