Date,MSDATA.Death,MSDATA.DeathConfirmed
2021-1-30,6018,4374
2021-1-31,6045,4383
2021-2-1,6056,4385
2021-2-2,6132,4418
2021-2-3,6158,4430
2021-2-4,6182,4441
2021-2-5,6222,4461
2021-2-6,6266,4479
2021-2-7,6269,4480
2021-2-8,6270,4481
2021-2-9,6342,4522
2021-2-10,6367,4527
2021-2-11,6390,4532
2021-2-12,6429,4554
